| 法术名
 | 诗 牧 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 植物交谈Speak with Plants
 | 三环
 | 变化
 | 诗 德 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 蛛行术Spider Climb
 | 二环
 | 变化
 | 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 荆棘丛生Spike Growth
 | 二环
 | 变化
 | 德 软
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 灵体卫士Spirit Guardians
 | 三环
 | 咒法
 | 牧
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 魂灵环绕Spirit Shroud
 | 三环
 | 死灵
 | 牧 帕 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | TCE
 | 死神灵魄Spirit of Death
 | 四环
 | 死灵
 | 术 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | BMT
 | 灵体武器Spiritual Weapon
 | 二环
 | 塑能
 | 牧
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 卡牌喷射Spray of Cards
 | 二环
 | 咒法
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | BMT
 | 惊惧斩Staggering Smite
 | 四环
 | 惑控
 | 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 点点星芒Starry Wisp
 | 戏法(零环)
 | 塑能
 | 诗 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 钢风斩Steel Wind Strike
 | 五环
 | 咒法
 | 软 法
 | ×
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 臭云术Stinking Cloud
 | 三环
 | 咒法
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 塑石术Stone Shape
 | 四环
 | 变化
 | 牧 德 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 石肤术Stoneskin
 | 四环
 | 防护
 | 德 软 术 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 风暴法球Storm Sphere
 | 四环
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 复仇风暴Storm of Vengeance
 | 九环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 暗示术Suggestion
 | 二环
 | 惑控
 | 诗 术 法 锁
 | V
 | ×
 | M
 | ×
 | √
 | PHB24
 | 异怪召唤术Summon Aberration
 | 四环
 | 咒法
 | 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 野兽召唤术Summon Beast
 | 二环
 | 咒法
 | 德 软
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 天界召唤术Summon Celestial
 | 五环
 | 咒法
 | 牧 帕
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 构装召唤术Summon Construct
 | 四环
 | 咒法
 | 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 龙类灵魄召唤术Summon Draconic Spirit
 | 五环
 | 咒法
 | 德 术 法
 | V
 | S
 | M*
 | ×
 | √
 | FTD
 | 龙类召唤术Summon Dragon
 | 五环
 | 咒法
 | 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 元素召唤术Summon Elemental
 | 四环
 | 咒法
 | 德 软 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 妖精召唤术Summon Fey
 | 三环
 | 咒法
 | 德 软 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 邪魔召唤术Summon Fiend
 | 六环
 | 咒法
 | 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 高阶恶魔召唤术Summon Greater Demon
 | 四环
 | 咒法
 | 法 锁
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 低阶恶魔召唤术Summon Lesser Demon
 | 三环
 | 咒法
 | 法 锁
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 暗影衍体召唤术Summon Shadowspawn
 | 三环
 | 咒法
 | 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 亡灵召唤术Summon Undead
 | 三环
 | 死灵
 | 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 阳炎射线Sunbeam
 | 六环
 | 塑能
 | 牧 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 阳炎爆Sunburst
 | 八环
 | 塑能
 | 牧 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 迅捷箭袋Swift Quiver
 | 五环
 | 变化
 | 软
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 剑刃爆发Sword Burst
 | 戏法(零环)
 | 咒法
 | 术 法 械 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | TCE
 | 徽记术Symbol
 | 七环
 | 防护
 | 诗 牧 德 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 突触静止Synaptic Static
 | 五环
 | 惑控
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 塔莎泡泡坩埚Tasha's Bubbling Cauldron
 | 六环
 | 咒法
 | 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 塔莎酸蚀酿Tasha's Caustic Brew
 | 一环
 | 塑能
 | 术 法 械
 | V
 | S
 | M
 | ×
 | √
 | TCE
 | 塔莎狂笑术Tasha's Hideous Laughter
 | 一环
 | 惑控
 | 诗 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 塔莎心灵鞭Tasha's Mind Whip
 | 二环
 | 惑控
 | 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | TCE
 | 塔莎超凡形态Tasha's Otherworldly Guise
 | 六环
 | 变化
 | 术 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 心灵遥控Telekinesis
 | 五环
 | 变化
 | 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 心灵感应Telepathy
 | 八环
 | 预言
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 传送术Teleport
 | 七环
 | 咒法
 | 诗 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 传送法阵Teleportation Circle
 | 五环
 | 咒法
 | 诗 术 法 锁
 | V
 | ×
 | M*
 | ×
 | ×
 | PHB24
 | 神庙术Temple of the Gods
 | 七环
 | 咒法
 | 牧
 | V
 | S
 | M*
 | ×
 | ×
 | XGE
 | 谭森浮碟术Tenser's Floating Disk
 | 一环
 | 咒法
 | 法
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 谭森变形术Tenser's Transformation
 | 六环
 | 变化
 | 法
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 奇术Thaumaturgy
 | 戏法(零环)
 | 变化
 | 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 荆棘之鞭Thorn Whip
 | 戏法(零环)
 | 变化
 | 德
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 雷霆步Thunder Step
 | 三环
 | 咒法
 | 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | XGE
 | 鸣雷破Thunderclap
 | 戏法(零环)
 | 塑能
 | 诗 德 术 法 锁
 | ×
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 雷鸣斩Thunderous Smite
 | 一环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 雷鸣波Thunderwave
 | 一环
 | 塑能
 | 诗 德 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 潮涌Tidal Wave
 | 三环
 | 咒法
 | 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | XGE
 | 时间停止Time Stop
 | 九环
 | 变化
 | 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 迷你仆役Tiny Servant
 | 三环
 | 变化
 | 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 亡者丧钟Toll the Dead
 | 戏法(零环)
 | 死灵
 | 牧 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 巧言术Tongues
 | 三环
 | 预言
 | 诗 牧 术 法 锁
 | V
 | ×
 | M
 | ×
 | ×
 | PHB24
 | 转化岩石Transmute Rock
 | 五环
 | 变化
 | 德 法 械
 | V
 | S
 | M
 | ×
 | ×
 | XGE
 | 木遁术Transport via Plants
 | 六环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 树跃术Tree Stride
 | 五环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 完全变形术True Polymorph
 | 九环
 | 变化
 | 诗 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 完全复生术True Resurrection
 | 九环
 | 死灵
 | 牧 德
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 真知术True Seeing
 | 六环
 | 预言
 | 诗 牧 术 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 克敌先击True Strike
 | 戏法(零环)
 | 预言
 | 诗 术 法 锁
 | ×
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 海啸术Tsunami
 | 八环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 隐形仆役Unseen Servant
 | 一环
 | 咒法
 | 诗 法 锁
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 吸血鬼之触Vampiric Touch
 | 三环
 | 死灵
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 恶言相加Vicious Mockery
 | 戏法(零环)
 | 惑控
 | 诗
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 浓酸球Vitriolic Sphere
 | 四环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 涡旋翘曲Vortex Warp
 | 二环
 | 咒法
 | 术 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | SCC
 | 火墙术Wall of Fire
 | 四环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 力场墙Wall of Force
 | 五环
 | 塑能
 | 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 冰墙术Wall of Ice
 | 六环
 | 塑能
 | 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 光墙术Wall of Light
 | 五环
 | 塑能
 | 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 沙墙术Wall of Sand
 | 三环
 | 塑能
 | 法
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 石墙术Wall of Stone
 | 五环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 棘墙术Wall of Thorns
 | 六环
 | 咒法
 | 德
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 水墙术Wall of Water
 | 三环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 守护之链Warding Bond
 | 二环
 | 防护
 | 牧 帕
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 守护之风Warding Wind
 | 二环
 | 塑能
 | 诗 德 术 法
 | V
 | ×
 | ×
 | ×
 | √
 | XGE
 | 侦测扭曲Warp Sense
 | 二环
 | 预言
 | 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | SO
 | 水下呼吸Water Breathing
 | 三环
 | 变化
 | 德 软 术 法
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 水上行走Water Walk
 | 三环
 | 变化
 | 牧 德 软 术
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 碧水法球Watery Sphere
 | 四环
 | 咒法
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 蛛网术Web
 | 二环
 | 咒法
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 怪影杀手Weird
 | 九环
 | 幻术
 | 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 旋风术Whirlwind
 | 七环
 | 塑能
 | 德 术 法
 | V
 | ×
 | M
 | ×
 | √
 | XGE
 | 御风而行Wind Walk
 | 六环
 | 变化
 | 德
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 风墙术Wind Wall
 | 三环
 | 塑能
 | 德 软
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 祈愿术Wish
 | 九环
 | 咒法
 | 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 巫术箭Witch Bolt
 | 一环
 | 塑能
 | 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 靡叶生华Wither and Bloom
 | 二环
 | 死灵
 | 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | SCC
 | 光耀祷词Word of Radiance
 | 戏法(零环)
 | 塑能
 | 牧
 | V
 | ×
 | M
 | ×
 | ×
 | PHB24
 | 回返真言Word of Recall
 | 六环
 | 咒法
 | 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 自然之怒Wrath of Nature
 | 五环
 | 塑能
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 激愤斩Wrathful Smite
 | 一环
 | 死灵
 | 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 悠兰德王者威仪Yolande's Regal Presence
 | 五环
 | 惑控
 | 诗 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 西风打击Zephyr Strike
 | 一环
 | 变化
 | 软
 | V
 | ×
 | ×
 | ×
 | √
 | XGE
 | 诚实之域Zone of Truth
 | 二环
 | 惑控
 | 诗 牧 帕
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 酸液飞溅Acid Splash
 | 戏法(零环)
 | 咒法
 | 术 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 援助术Aid
 | 二环
 | 防护
 | 诗 牧 帕 软 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 警报术Alarm
 | 一环
 | 防护
 | 软 法 械
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 变身术Alter Self
 | 二环
 | 变化
 | 术 法 械
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 化兽为友Animal Friendship
 | 一环
 | 惑控
 | 诗 德 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 动物信使Animal Messenger
 | 二环
 | 惑控
 | 诗 德 软
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 动物形态Animal Shapes
 | 八环
 | 变化
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 活化死尸Animate Dead
 | 三环
 | 死灵
 | 牧 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 活化物件Animate Objects
 | 五环
 | 变化
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 防活物护罩Antilife Shell
 | 五环
 | 防护
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 反魔法场Antimagic Field
 | 八环
 | 防护
 | 牧 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 嫌恶术/关怀术Antipathy/Sympathy
 | 八环
 | 惑控
 | 诗 德 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 秘法眼Arcane Eye
 | 四环
 | 预言
 | 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 秘法门Arcane Gate
 | 六环
 | 咒法
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 秘法锁Arcane Lock
 | 二环
 | 防护
 | 法 械
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 黯冰狱铠Armor of Agathys
 | 一环
 | 防护
 | 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 哈达之臂Arms of Hadar
 | 一环
 | 咒法
 | 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 星界投影Astral Projection
 | 九环
 | 死灵
 | 牧 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 卜筮术Augury
 | 二环
 | 预言
 | 牧 德 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB14
 | 生命灵光Aura of Life
 | 四环
 | 防护
 | 牧 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 净化灵光Aura of Purity
 | 四环
 | 防护
 | 牧 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 活力灵光Aura of Vitality
 | 三环
 | 塑能
 | 牧 德 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 启蒙术Awaken
 | 五环
 | 变化
 | 诗 德
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 灾祸术Bane
 | 一环
 | 惑控
 | 诗 牧
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 放逐斩Banishing Smite
 | 五环
 | 防护
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 放逐术Banishment
 | 四环
 | 防护
 | 牧 帕 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 树肤术Barkskin
 | 二环
 | 变化
 | 德 软
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 希望信标Beacon of Hope
 | 三环
 | 防护
 | 牧
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 野兽知觉Beast Sense
 | 二环
 | 预言
 | 德 软
 | ×
 | S
 | ×
 | √
 | √
 | PHB14
 | 降咒Bestow Curse
 | 三环
 | 死灵
 | 诗 牧 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 毕格比之手Bigby's Hand
 | 五环
 | 塑能
 | 术 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 剑刃护壁Blade Barrier
 | 六环
 | 塑能
 | 牧
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 剑刃防护Blade Ward
 | 戏法(零环)
 | 防护
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 祝福术Bless
 | 一环
 | 惑控
 | 牧 帕
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 枯萎术Blight
 | 四环
 | 死灵
 | 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 致盲斩Blinding Smite
 | 三环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 目盲术/耳聋术Blindness/Deafness
 | 二环
 | 死灵
 | 诗 牧 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 闪现术Blink
 | 三环
 | 变化
 | 术 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 朦胧术Blur
 | 二环
 | 幻术
 | 术 法 械
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 印记斩Branding Smite
 | 二环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 燃烧之手Burning Hands
 | 一环
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 召雷术Call Lightning
 | 三环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 安定心神Calm Emotions
 | 二环
 | 惑控
 | 诗 牧
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 连锁闪电Chain Lightning
 | 六环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 魅惑怪物Charm Monster
 | 四环
 | 惑控
 | 诗 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 魅惑类人Charm Person
 | 一环
 | 惑控
 | 诗 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 颤栗之触Chill Touch
 | 戏法(零环)
 | 死灵
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 繁彩球Chromatic Orb
 | 一环
 | 塑能
 | 术 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 死亡法阵Circle of Death
 | 六环
 | 死灵
 | 术 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 原力法阵Circle of Power
 | 五环
 | 防护
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 鹰眼术Clairvoyance
 | 三环
 | 预言
 | 诗 牧 术 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 克隆术Clone
 | 八环
 | 死灵
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 匕首之云Cloud of Daggers
 | 二环
 | 咒法
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 死云术Cloudkill
 | 五环
 | 咒法
 | 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 七彩喷射Color Spray
 | 一环
 | 幻术
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 命令术Command
 | 一环
 | 惑控
 | 诗 牧 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 通神术Commune
 | 五环
 | 预言
 | 牧
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 问道自然Commune with Nature
 | 五环
 | 预言
 | 德 软
 | V
 | S
 | ×
 | √
 | ×
 | PHB14
 | 强令对决Compelled Duel
 | 一环
 | 惑控
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 通晓语言Comprehend Languages
 | 一环
 | 预言
 | 诗 术 法 锁
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 强迫术Compulsion
 | 四环
 | 惑控
 | 诗
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 寒冰锥Cone of Cold
 | 五环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 困惑术Confusion
 | 四环
 | 惑控
 | 诗 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 动物咒唤术Conjure Animals
 | 三环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 箭如雨下Conjure Barrage
 | 三环
 | 咒法
 | 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 天界咒唤术Conjure Celestial
 | 七环
 | 咒法
 | 牧
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 元素咒唤术Conjure Elemental
 | 五环
 | 咒法
 | 德 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 精类咒唤术Conjure Fey
 | 六环
 | 咒法
 | 德 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 次级元素咒唤术Conjure Minor
					Elementals
 | 四环
 | 咒法
 | 德 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 万箭齐发Conjure Volley
 | 五环
 | 咒法
 | 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 林地之精咒唤术Conjure Woodland
					Beings
 | 四环
 | 咒法
 | 德 软
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 异界探知Contact Other Plane
 | 五环
 | 预言
 | 法 锁
 | V
 | ×
 | ×
 | √
 | ×
 | PHB14
 | 疫病术Contagion
 | 五环
 | 死灵
 | 牧 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 触发术Contingency
 | 六环
 | 塑能
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 不灭明焰Continual Flame
 | 二环
 | 塑能
 | 牧 德 法 械
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 操控水体Control Water
 | 四环
 | 变化
 | 牧 德 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 操控天气Control Weather
 | 八环
 | 变化
 | 牧 德 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 警戒箭阵Cordon of Arrows
 | 二环
 | 变化
 | 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 法术反制Counterspell
 | 三环
 | 防护
 | 术 法 锁
 | ×
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 造粮术Create Food and Water
 | 三环
 | 咒法
 | 牧 帕 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 唤起亡灵Create Undead
 | 六环
 | 死灵
 | 牧 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 造水/枯水术Create or Destroy
					Water
 | 一环
 | 变化
 | 牧 德
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 造物术Creation
 | 五环
 | 幻术
 | 术 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 疯狂冠冕Crown of Madness
 | 二环
 | 惑控
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 十字军披风Crusader's Mantle
 | 三环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 疗伤术Cure Wounds
 | 一环
 | 塑能
 | 诗 牧 德 帕 软 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 舞光术Dancing Lights
 | 戏法(零环)
 | 塑能
 | 诗 术 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 黑暗术Darkness
 | 二环
 | 塑能
 | 术 法 锁
 | V
 | ×
 | M
 | ×
 | √
 | PHB14
 | 黑暗视觉Darkvision
 | 二环
 | 变化
 | 德 软 术 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 昼明术Daylight
 | 三环
 | 塑能
 | 牧 德 帕 软 术
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 防死结界Death Ward
 | 四环
 | 防护
 | 牧 帕
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 延迟爆裂火球Delayed Blast
					Fireball
 | 七环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 半位面Demiplane
 | 八环
 | 咒法
 | 术 法 锁
 | ×
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 湮灭波Destructive Wave
 | 五环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 侦测善恶Detect Evil and Good
 | 一环
 | 预言
 | 牧 帕
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 侦测魔法Detect Magic
 | 一环
 | 预言
 | 诗 牧 德 帕 软 术 法 械
 | V
 | S
 | ×
 | √
 | √
 | PHB14
 | 侦测毒性和疾病Detect Poison and
					Disease
 | 一环
 | 预言
 | 牧 德 帕 软
 | V
 | S
 | M
 | √
 | √
 | PHB14
 | 侦测思想Detect Thoughts
 | 二环
 | 预言
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 任意门Dimension Door
 | 四环
 | 咒法
 | 诗 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 易容术Disguise Self
 | 一环
 | 幻术
 | 诗 术 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 解离术Disintegrate
 | 六环
 | 变化
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 驱逐善恶Dispel Evil and Good
 | 五环
 | 防护
 | 牧 帕
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 解除魔法Dispel Magic
 | 三环
 | 防护
 | 诗 牧 德 帕 术 法 械 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 不谐低语Dissonant Whispers
 | 一环
 | 惑控
 | 诗
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 预言术Divination
 | 四环
 | 预言
 | 牧 德 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB14
 | 神恩Divine Favor
 | 一环
 | 塑能
 | 帕
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 圣言术Divine Word
 | 七环
 | 塑能
